feature_id	S000	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039
Feature_0157	0	0	0	1	1	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	3	0	1	9	2	0	0	0	0	0	0	0	1	0	7	2	0	0
Feature_0158	0	0	2	2	1	2	0	5	7	1	0	0	0	0	0	4	0	0	1	0	6	0	0	0	1	6	0	4	1	0	0	0	4	0	0	10	0	0	8	0
Feature_0159	3	2	8	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	1	0	0	0	0	0	0	8	0	3	0	0	5	3	1	0	0	0	0	0	0
Feature_0160	9	0	3	0	8	0	0	0	9	0	0	0	0	0	0	5	0	3	5	0	6	0	1	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0
Feature_0161	1	0	0	0	0	2	2	0	10	0	0	0	9	2	1	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	2	0	0	4	0	0	0
Feature_0162	2	0	5	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	9	0	2	1	0	0	0	0	2	4	0	0	5	0	0	1	0	3	3	1	4	0
Feature_0163	0	0	0	6	0	0	3	0	1	0	0	3	3	0	0	6	0	4	6	5	0	0	2	0	7	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0
Feature_0164	0	0	4	1	0	2	5	0	0	21	0	0	1	0	0	0	1	2	0	1	0	1	0	0	0	0	3	1	1	0	9	0	3	0	1	0	0	0	0	0
Feature_0165	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	5	0	17	0	4	1	0	0	0	0	4
Feature_0166	0	0	0	0	0	0	10	0	5	5	0	0	0	0	0	0	0	0	0	0	3	1	0	0	6	0	20	0	0	0	0	0	6	2	0	0	0	0	0	1
Feature_0167	3	0	1	0	0	2	4	0	0	5	7	2	0	0	0	2	0	1	0	0	0	0	1	2	0	8	2	1	0	4	0	0	0	3	0	0	0	0	0	0
Feature_0168	0	0	0	0	0	0	0	4	3	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	2	0	3	0	2	1	0	0	0	2	0
Feature_0169	0	1	0	0	0	5	0	0	0	3	0	0	1	0	0	1	0	3	4	0	4	0	0	1	0	0	0	0	2	1	1	0	3	0	0	0	0	6	0	0
Feature_0170	0	0	5	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	1	2	0	0	0	0	0	0	5	3	0	1	0
Feature_0171	1	0	3	3	6	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	3	0	0	0	0	0	6	0	6	3	0
Feature_0172	0	0	6	0	0	0	0	1	3	4	2	0	1	0	0	0	0	0	0	0	1	0	1	3	1	2	0	1	0	0	2	0	0	1	0	0	3	0	0	0
Feature_0173	0	0	4	4	0	2	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Feature_0174	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	5
Feature_0175	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	6	2	0
Feature_0176	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Feature_0177	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Feature_0178	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0179	0	0	0	0	0	0	0	2	4	1	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	1	0	0	0
Feature_0180	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	5	0	0	0
Feature_0181	3	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	5	0	1	1	0	0	0
Feature_0182	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0
Feature_0183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	1	4	0	0	0	1	1	0	0	0	0	2	0	0	1	0
Feature_0184	0	1	0	0	0	0	3	0	2	0	7	0	0	1	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Feature_0185	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	2	1	0	0	3	0	0
Feature_0186	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
Feature_0187	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	4	0	2	0	0	0	4
Feature_0188	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	0	0	0	0	0	5	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Feature_0189	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Feature_0190	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0
Feature_0191	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	2	0	0	2	0	0	1	0	5	2	0	0	0	0	0	0	0	0	0	0	1	1	0
Feature_0192	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Feature_0193	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Feature_0194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Feature_0195	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Feature_0196	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Feature_0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Feature_0198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
