feature_id	S000	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039
Feature_0157	2	3	2	0	0	0	0	1	0	6	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	5	4	0	0	0	5	0	0	4	0	4	0
Feature_0158	0	0	0	0	1	0	3	1	0	5	0	1	0	0	0	5	7	1	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	10	1	12	0	4
Feature_0159	1	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	4	10	0	1	0	0	1	6	4	0	0	0	0	1	20	0	0	0	0	0	0	0	3
Feature_0160	0	0	0	3	3	0	0	1	0	0	0	0	2	5	0	0	1	0	0	0	0	2	0	0	0	0	0	7	0	2	0	14	3	1	2	0	0	0	0	0
Feature_0161	0	0	5	0	0	0	0	0	0	6	0	1	4	0	0	0	3	0	0	0	9	0	0	0	7	0	0	3	6	3	0	0	0	0	0	0	0	0	0	7
Feature_0162	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	24	0	2	0	0
Feature_0163	0	2	6	0	0	13	0	0	0	0	1	0	5	0	0	3	0	1	0	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0
Feature_0164	2	0	0	0	0	10	0	0	0	16	3	2	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	5	0	0	3	0	0	0	0	5	0	0
Feature_0165	4	0	0	1	0	0	0	2	0	1	4	2	0	4	0	1	0	3	0	0	4	0	0	0	1	7	2	2	0	3	3	4	0	0	8	6	0	16	1	10
Feature_0166	0	0	0	0	0	0	0	4	0	6	5	3	1	2	0	0	0	0	0	0	8	0	3	0	1	0	5	0	2	0	11	5	0	0	0	0	0	3	5	0
Feature_0167	0	1	0	1	0	0	0	0	3	3	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	2	8	0	2	0	0	9	2	0	0	2	0	0	0	0
Feature_0168	4	0	0	3	0	0	1	0	0	0	2	3	0	0	0	0	1	2	0	0	0	0	1	7	2	0	8	0	0	0	4	0	0	0	0	0	1	5	6	0
Feature_0169	11	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	3	0	0	0	0	0	0	2	0	5	7	4	0	2
Feature_0170	0	1	0	0	0	0	1	1	0	0	4	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	2	0	0	0	4	3	0	6	0	0	0	0	1	0
Feature_0171	0	0	2	0	0	0	0	3	1	0	0	1	0	0	0	9	0	0	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	2	0	0	3	0	4	0
Feature_0172	0	1	0	0	0	2	0	3	0	4	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Feature_0173	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	2	0	0	0	0	0	2	0	1	0	0	1	0	1	0	1	0	0	6
Feature_0174	0	0	1	0	1	4	0	1	0	0	2	0	0	3	0	0	0	0	1	0	2	2	1	0	0	0	0	3	0	0	0	0	4	0	0	3	0	0	0	4
Feature_0175	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	2	0	1	0	0	2	0	0	1	0	0	3	0	0	0
Feature_0176	0	0	2	0	0	0	5	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0177	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	1
Feature_0178	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
Feature_0179	4	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0180	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Feature_0181	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0182	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	7	0	0	0	0	1	1	0	0	0	0	3	0	2	2	0
Feature_0183	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	4	0	0	0	4	0	0	0	0	3	1	0	0	0	1	4	0	0	0	0
Feature_0184	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	2	0	1	0	3	0	1	4	0	0	2	0	0	0
Feature_0185	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0186	0	0	2	1	0	0	4	0	0	0	3	0	3	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	2	0	3	2	0	1	0	0
Feature_0187	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1
Feature_0188	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0	0	2	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Feature_0189	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	5	3	0	2
Feature_0190	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	4	0	1	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	3	0	1
Feature_0191	0	0	0	0	0	0	4	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Feature_0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Feature_0193	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Feature_0194	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0
Feature_0195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Feature_0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Feature_0198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0199	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
